ID,neuroticism_scores,extroversion_scores,openness_scores,agreeableness_scores,conscientiousness_scores,major,GPA,Team number,Team Score,cluster,Role
1,26.55,60.36,45.76,49.09,38.9,ICS,3.48,5,32,0,Executor
2,26.91,51.33,48.49,51.24,36.26,SWE,2.91,18,74,1,Collaborator
3,21.44,44.73,39.27,56.28,37.7,ICS,2.17,20,86,1,Collaborator
4,23.59,51.42,46.02,42.92,40.62,SWE,2.02,20,86,0,Executor
5,23.1,43.46,51.07,57.4,38.28,ICS,3.74,15,34,1,Collaborator
6,32.59,64.76,41.44,53.41,52.68,SWE,3.95,3,37,2,Innovator
7,22.23,42.44,47.99,52.68,40.37,ICS,2.31,16,20,1,Collaborator
8,19.97,54.69,40.19,48.09,41.53,ISE,2.99,9,71,2,Innovator
9,10.87,39.06,44.76,64.0,41.58,SWE,2.27,10,16,1,Collaborator
10,18.09,42.05,44.91,56.56,38.11,ISE,3.37,13,63,1,Collaborator
11,29.9,50.93,43.47,53.25,25.23,ISE,3.42,2,91,1,Collaborator
12,26.81,46.04,48.09,61.05,42.93,ISE,3.58,11,82,1,Collaborator
13,15.75,52.41,43.69,51.26,41.83,SWE,3.7,20,86,2,Innovator
14,17.25,52.26,39.08,43.78,51.25,SWE,3.1,6,51,0,Executor
15,13.08,55.51,40.52,28.47,50.65,ISE,3.46,18,74,0,Executor
16,41.56,62.49,52.32,44.61,48.04,ISE,3.21,16,20,0,Executor
17,26.28,58.17,45.1,39.61,40.69,SWE,2.25,9,71,0,Executor
18,21.24,53.36,46.5,39.8,41.24,ICS,3.85,9,71,0,Executor
19,16.27,56.55,41.15,44.28,34.15,SWE,2.64,13,63,0,Executor
20,20.13,45.8,42.13,52.01,33.28,ICS,2.35,3,37,1,Collaborator
21,20.25,64.55,35.81,47.12,47.89,SWE,2.86,2,91,2,Innovator
22,17.06,51.25,46.15,42.08,47.07,ISE,3.35,7,41,0,Executor
23,27.61,61.6,40.55,36.73,35.1,SWE,2.92,1,81,0,Executor
24,26.1,45.84,38.0,65.18,48.12,ISE,3.41,16,20,1,Collaborator
25,19.04,38.74,44.13,49.18,45.94,ISE,3.14,18,74,1,Collaborator
26,20.24,41.98,48.97,67.03,42.3,SWE,2.55,16,20,1,Collaborator
27,25.19,38.66,49.99,43.49,39.15,ISE,2.28,14,48,1,Collaborator
28,36.93,44.05,54.61,59.7,44.46,ISE,2.62,4,86,1,Collaborator
29,19.86,41.06,36.03,36.79,50.33,ISE,2.42,12,48,0,Executor
30,10.5,51.97,38.47,38.66,36.68,SWE,2.01,17,40,0,Executor
31,24.07,59.32,46.8,38.47,45.99,ICS,3.82,10,16,0,Executor
32,34.67,53.57,47.54,46.74,36.96,SWE,3.28,5,32,0,Executor
33,20.88,49.45,46.41,44.12,30.06,SWE,3.7,7,41,0,Executor
34,28.94,52.32,43.92,39.26,33.14,ICS,3.71,15,34,0,Executor
35,18.28,62.7,50.42,31.3,43.46,ISE,2.49,1,81,0,Executor
36,18.9,51.0,61.01,53.59,44.34,ISE,3.7,17,40,1,Collaborator
37,17.43,48.45,42.8,63.56,38.26,ISE,2.29,12,48,1,Collaborator
38,14.98,47.46,46.54,68.88,41.43,ISE,2.79,4,86,1,Collaborator
39,22.61,39.21,38.26,43.65,42.19,SWE,3.39,14,48,1,Collaborator
40,19.68,49.57,48.2,56.35,46.43,SWE,2.62,4,86,1,Collaborator
41,28.68,43.91,48.43,51.99,36.4,ISE,3.73,12,48,1,Collaborator
42,10.6,56.83,47.03,48.07,36.26,SWE,2.79,5,32,2,Innovator
43,13.32,45.83,45.96,53.09,47.65,SWE,2.25,5,32,1,Collaborator
44,18.66,42.4,38.59,59.36,36.21,SWE,3.79,14,48,1,Collaborator
45,24.87,55.2,34.94,39.41,36.94,SWE,3.47,5,32,0,Executor
46,25.96,42.37,40.67,46.42,35.87,ICS,2.01,2,91,1,Collaborator
47,22.3,53.16,46.07,70.76,42.34,ICS,2.61,8,2,1,Collaborator
48,19.05,50.0,49.28,56.81,34.45,ISE,2.38,7,41,1,Collaborator
49,14.22,54.07,44.1,56.99,42.76,ICS,2.99,15,34,2,Innovator
50,16.52,68.41,38.9,67.11,44.6,SWE,2.8,14,48,2,Innovator
51,7.78,60.08,40.29,53.96,49.26,ISE,2.16,19,95,2,Innovator
52,27.94,57.94,54.1,44.14,46.24,ISE,2.59,16,20,0,Executor
53,29.67,65.24,47.34,43.71,38.27,ICS,3.83,1,81,0,Executor
54,16.82,51.95,43.86,57.57,39.01,ISE,2.39,5,32,2,Innovator
55,32.38,33.58,56.63,60.77,42.82,ICS,3.4,8,2,1,Collaborator
56,17.47,39.71,36.01,55.72,31.14,SWE,3.19,1,81,1,Collaborator
57,12.52,42.7,47.76,43.1,44.03,ICS,2.09,16,20,1,Collaborator
58,20.58,46.57,40.31,58.9,41.9,ICS,2.95,8,2,1,Collaborator
59,43.18,37.96,45.36,49.42,45.98,SWE,3.23,18,74,1,Collaborator
60,27.71,59.46,46.85,50.31,43.08,SWE,3.76,5,32,0,Executor
61,24.42,47.37,44.03,45.28,50.58,ICS,2.13,3,37,0,Executor
62,19.03,45.2,51.53,57.62,31.0,SWE,3.44,20,86,1,Collaborator
63,11.05,39.54,35.84,42.24,43.42,ISE,2.92,1,81,1,Collaborator
64,22.39,57.55,45.79,45.22,40.47,SWE,2.27,11,82,0,Executor
65,19.46,56.61,46.07,49.98,35.93,SWE,2.9,9,71,2,Innovator
66,24.28,71.47,33.8,50.24,39.96,ICS,3.6,11,82,2,Innovator
67,14.08,61.79,48.48,53.36,45.44,SWE,2.81,14,48,2,Innovator
68,11.56,59.56,36.6,55.98,45.41,SWE,2.85,11,82,2,Innovator
69,18.85,57.28,39.92,51.23,46.4,SWE,3.17,14,48,2,Innovator
70,15.92,38.61,41.88,53.9,45.09,ISE,2.69,5,32,1,Collaborator
71,19.05,43.93,41.1,46.67,41.99,SWE,3.56,3,37,1,Collaborator
72,29.56,40.65,43.73,42.18,36.99,ICS,3.59,12,48,1,Collaborator
73,18.57,36.75,42.5,45.89,43.37,SWE,3.53,18,74,1,Collaborator
74,7.28,49.58,31.63,36.22,44.21,ISE,3.26,8,2,0,Executor
75,19.28,46.1,41.76,50.6,38.6,SWE,3.89,14,48,1,Collaborator
76,18.22,42.85,40.42,59.75,29.93,ISE,2.33,15,34,1,Collaborator
77,27.74,53.79,53.73,33.75,40.81,ISE,2.14,1,81,0,Executor
78,29.9,45.28,48.04,47.94,43.4,SWE,3.23,6,51,1,Collaborator
79,11.62,40.2,48.15,45.97,41.41,SWE,2.99,1,81,1,Collaborator
80,20.94,48.43,42.62,62.38,42.69,SWE,3.6,15,34,1,Collaborator
81,25.24,46.61,35.73,51.4,47.5,ICS,3.39,11,82,1,Collaborator
82,18.6,58.23,42.96,54.7,46.84,SWE,2.19,15,34,2,Innovator
83,35.28,48.71,56.64,67.27,45.8,ICS,2.56,16,20,1,Collaborator
84,11.8,55.67,37.81,64.31,44.06,ISE,3.16,8,2,2,Innovator
85,28.12,52.74,46.18,47.83,27.11,ICS,2.52,13,63,0,Executor
86,12.6,60.81,45.04,58.49,52.84,ICS,2.94,19,95,2,Innovator
87,22.43,64.87,36.97,55.85,43.9,ICS,2.94,9,71,2,Innovator
88,13.83,37.7,42.7,55.56,39.82,SWE,3.26,8,2,1,Collaborator
89,15.13,65.59,52.47,38.44,31.08,ISE,2.58,16,20,0,Executor
90,21.65,52.94,46.45,51.29,34.5,SWE,3.47,15,34,1,Collaborator
91,20.21,59.75,33.49,54.29,38.79,ISE,3.18,15,34,2,Innovator
92,13.53,44.79,47.61,46.93,44.65,ISE,3.33,18,74,1,Collaborator
93,29.45,53.92,44.54,57.35,44.59,ICS,2.19,10,16,1,Collaborator
94,30.6,50.65,49.47,51.81,36.65,SWE,2.53,9,71,1,Collaborator
95,15.89,58.91,46.35,52.83,34.77,ISE,2.92,20,86,2,Innovator
96,35.09,49.61,31.36,56.24,34.52,SWE,2.23,2,91,1,Collaborator
97,26.59,47.59,45.11,42.7,40.88,SWE,3.6,20,86,0,Executor
98,24.81,50.61,44.73,42.17,43.55,SWE,2.34,18,74,0,Executor
99,29.19,41.93,34.44,55.73,43.51,SWE,2.09,3,37,1,Collaborator
100,33.05,44.24,45.18,56.23,32.8,SWE,2.42,18,74,1,Collaborator
